City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
232,Allapalli,IN,2022-04-21 15:55:59,19.4167,80.0667,96.35,24,53,5.82
233,Esna,EG,2022-04-21 15:59:00,25.2934,32.554,91.42,6,14,11.16
234,Laguna,US,2022-04-21 15:59:01,38.421,-121.4238,56.28,93,100,9.22
235,Dingzhou,CN,2022-04-21 15:56:03,38.5131,114.9956,62.71,29,1,10.42
236,Linjiang,CN,2022-04-21 15:59:01,41.8069,126.9078,52.21,71,86,5.66
237,Igarka,RU,2022-04-21 15:57:29,67.4667,86.5833,-0.44,99,45,6.55
238,Constantine,DZ,2022-04-21 15:59:01,36.365,6.6147,58.41,51,75,21.85
239,Evensk,RU,2022-04-21 15:59:02,61.95,159.2333,13.82,83,87,10.38
240,Alexandroupoli,GR,2022-04-21 15:59:02,40.8475,25.8744,58.82,58,20,8.05
241,Luanda,AO,2022-04-21 15:59:03,-8.8368,13.2343,80.6,83,40,12.66
242,Mathathane,BW,2022-04-21 15:59:03,-22.2687,28.7495,64.31,82,96,4.0
243,Grand Forks,US,2022-04-21 15:54:05,47.9417,-97.4337,35.78,69,100,13.8
244,Saucillo,MX,2022-04-21 15:59:04,28.0167,-105.2833,81.5,13,0,1.52
245,Sainte-Maxime,FR,2022-04-21 15:59:04,43.3,6.6333,64.42,68,100,20.33
246,Anadyr,RU,2022-04-21 15:59:05,64.75,177.4833,28.9,92,75,2.24
247,Katsuura,JP,2022-04-21 15:59:05,35.1333,140.3,65.05,95,100,30.31
248,Beringovskiy,RU,2022-04-21 15:59:05,63.05,179.3167,25.81,98,100,5.37
249,Kirksville,US,2022-04-21 15:59:02,40.1948,-92.5833,54.59,85,62,3.0
250,Cidreira,BR,2022-04-21 15:59:06,-30.1811,-50.2056,74.1,59,31,3.27
251,Tasiilaq,GL,2022-04-21 15:59:06,65.6145,-37.6368,33.13,98,100,14.29
252,Ust-Nera,RU,2022-04-21 15:59:07,64.5667,143.2,8.17,99,87,1.79
253,Burhaniye,TR,2022-04-21 15:59:07,39.5004,26.9727,61.66,66,54,3.58
254,Mayo,US,2022-04-21 15:59:08,38.8876,-76.5119,64.2,59,0,14.97
255,Nouadhibou,MR,2022-04-21 15:59:08,20.931,-17.0347,75.18,50,100,13.8
256,Wajima,JP,2022-04-21 15:59:08,37.4,136.9,54.52,97,100,8.63
257,Sedona,US,2022-04-21 15:56:56,34.8697,-111.761,69.39,29,0,3.44
258,Noormarkku,FI,2022-04-21 15:59:09,61.5927,21.8685,62.38,31,0,8.05
259,Vallenar,CL,2022-04-21 15:59:09,-28.5708,-70.7581,76.37,28,0,5.32
260,Faanui,PF,2022-04-21 15:59:10,-16.4833,-151.75,79.81,74,92,7.67
261,Manuk Mangkaw,PH,2022-04-21 15:59:10,4.8,119.85,83.41,73,86,6.4
262,Mandera,KE,2022-04-21 15:59:10,3.9366,41.867,89.01,47,56,3.89
263,Khash,IR,2022-04-21 15:59:11,28.2211,61.2158,75.34,10,35,8.48
264,Talas,TR,2022-04-21 15:59:11,38.6908,35.5538,59.67,33,40,11.5
265,Yuancheng,CN,2022-04-21 15:59:12,36.652,107.7896,58.24,21,100,13.62
266,Barkly West,ZA,2022-04-21 15:59:12,-28.5354,24.5215,76.28,35,64,7.52
267,Saskylakh,RU,2022-04-21 15:55:08,71.9167,114.0833,6.39,98,100,4.61
268,Jacareacanga,BR,2022-04-21 15:59:12,-6.2222,-57.7528,77.11,90,100,3.67
269,Ballina,AU,2022-04-21 15:59:13,-28.8667,153.5667,63.01,100,3,5.75
270,Hofn,IS,2022-04-21 15:56:01,64.2539,-15.2082,55.42,54,20,8.05
271,Keshod,IN,2022-04-21 15:58:33,21.3,70.25,86.76,46,4,12.15
272,Waipawa,NZ,2022-04-21 15:58:27,-41.4122,175.5153,60.62,90,99,7.72
273,Berga,NO,2022-04-21 15:57:01,60.392,5.328,63.01,39,75,5.75
274,Panambi,BR,2022-04-21 15:59:13,-28.2925,-53.5017,75.51,59,100,9.91
